States,Years,Quarter,Districts,RegisteredUsers,AppOpens
"Arunachal Pradesh",2020,2,"tawang district",8993,170812
"Arunachal Pradesh",2020,1,"west kameng district",13983,332479
"Andhra Pradesh",2020,3,"west godavari district",1053674,38126238
"Arunachal Pradesh",2019,2,"lohit district",5485,32550
"Arunachal Pradesh",2019,1,"kurung kumey district",385,0
"Arunachal Pradesh",2018,3,"lower dibang valley district",1286,0
"Andhra Pradesh",2018,2,"vizianagaram district",167327,0
"Arunachal Pradesh",2020,1,"shi yomi district",290,989
"Arunachal Pradesh",2019,2,"lepa rada district",903,4196
"Andhra Pradesh",2020,3,"chittoor district",1506503,69462572
"Arunachal Pradesh",2019,2,"lepa rada district",903,4196
"Arunachal Pradesh",2019,1,"siang district",651,0
"Andhra Pradesh",2022,4,"spsr nellore district",1663684,103101986
"Arunachal Pradesh",2020,2,"namsai district",7426,149491
"Andhra Pradesh",2018,2,"ysr district",248657,0
"Arunachal Pradesh",2019,2,"lower dibang valley district",2842,12669
"Andhra Pradesh",2020,4,"east godavari district",1746280,82605352
"Arunachal Pradesh",2020,1,"east kameng district",1962,37103
"Andhra Pradesh",2023,1,"prakasam district",1719910,112502189
"Andhra Pradesh",2022,4,"vizianagaram district",1044490,64406405
"Andhra Pradesh",2021,4,"spsr nellore district",1349290,90814672
"Andhra Pradesh",2018,2,"west godavari district",282393,0
"Arunachal Pradesh",2019,1,"kra daadi district",350,0
"Andhra Pradesh",2020,4,"srikakulam district",726761,36770992
"Arunachal Pradesh",2018,3,"longding district",644,0
"Arunachal Pradesh",2019,2,"lower dibang valley district",2842,12669
"Andhra Pradesh",2022,4,"ysr district",1556901,93975668
"Arunachal Pradesh",2020,1,"lohit district",8454,159158
"Andhra Pradesh",2021,4,"vizianagaram district",839606,56101822
"Arunachal Pradesh",2019,1,"changlang district",5210,0
"Arunachal Pradesh",2020,3,"lower subansiri district",6456,117359
"Andhra Pradesh",2023,1,"anantapur district",2228505,177793392
"Andhra Pradesh",2018,2,"chittoor district",414306,0
"Arunachal Pradesh",2019,2,"longding district",1420,13256
"Arunachal Pradesh",2018,3,"west siang district",1652,0
"Arunachal Pradesh",2020,1,"lepa rada district",1532,28280
"Arunachal Pradesh",2019,1,"pakke kessang district",162,0
"Arunachal Pradesh",2020,3,"tirap district",6119,125437
"Andhra Pradesh",2023,1,"kurnool district",2114023,149581663
"Andhra Pradesh",2018,3,"east godavari district",558982,0
"Arunachal Pradesh",2019,2,"west siang district",3393,15972
"Arunachal Pradesh",2018,3,"kamle district",65,0
"Arunachal Pradesh",2019,1,"east siang district",5899,0
"Andhra Pradesh",2018,3,"srikakulam district",228456,0
"Andhra Pradesh",2021,4,"ysr district",1262963,83534122
"Andhra Pradesh",2020,4,"visakhapatnam district",2209658,124730170
"Arunachal Pradesh",2019,2,"kamle district",212,972
"Arunachal Pradesh",2019,2,"longding district",1420,13256
"Andhra Pradesh",2022,4,"west godavari district",1893310,129116752
"Arunachal Pradesh",2018,3,"upper siang district",646,0
"Arunachal Pradesh",2020,3,"papum pare district",69419,1157730
"Andhra Pradesh",2018,3,"visakhapatnam district",769096,0
"Arunachal Pradesh",2019,2,"upper siang district",1372,2710
"Arunachal Pradesh",2020,1,"lower dibang valley district",4650,71091
"Andhra Pradesh",2018,3,"prakasam district",314899,0
"Arunachal Pradesh",2019,2,"kurung kumey district",481,2171
"Arunachal Pradesh",2020,3,"anjaw district",2226,42320
"Arunachal Pradesh",2019,1,"upper subansiri district",1906,0
"Andhra Pradesh",2023,1,"guntur district",2900895,103514892
"Andhra Pradesh",2020,4,"prakasam district",999462,52839846
"Arunachal Pradesh",2020,1,"longding district",2201,58817
"Andhra Pradesh",2018,3,"anantapur district",405855,0
"Arunachal Pradesh",2019,2,"siang district",831,3209
"Andhra Pradesh",2022,4,"chittoor district",2636036,189655966
"Arunachal Pradesh",2019,1,"tawang district",5023,0
"Andhra Pradesh",2020,4,"anantapur district",1295872,69562398
"Arunachal Pradesh",2019,2,"west siang district",3393,15972
"Arunachal Pradesh",2018,3,"kurung kumey district",222,0
"Andhra Pradesh",2022,4,"visakhapatnam district",3566854,208604256
"Andhra Pradesh",2023,1,"east godavari district",2965296,98931582
"Andhra Pradesh",2020,4,"kurnool district",1230466,60615045
"Arunachal Pradesh",2019,1,"namsai district",3153,0
"Arunachal Pradesh",2019,2,"kra daadi district",440,2639
"Arunachal Pradesh",2020,1,"west siang district",5757,97255
"Arunachal Pradesh",2018,3,"siang district",373,0
"Andhra Pradesh",2018,3,"kurnool district",394311,0
"Arunachal Pradesh",2020,3,"lower siang district",2983,51520
"Andhra Pradesh",2022,4,"prakasam district",1642503,94432083
"Arunachal Pradesh",2019,2,"lower subansiri district",2463,11644
"Arunachal Pradesh",2019,2,"kamle district",212,972
